Port_IDs,total_profit,total_investment,ROI (%),PnL,mean_return,std_return,Sharpe_Ratio,MDD,Win_Rate,Rank_Score
3907081197088384000,18015.99737026,1638947.5950495,1.099241819853055,18015.99737026,4.354845871467247,19.552191904378006,0.22272929259108473,-3.124903331040172,61.39714769156394,0.713382006167241
3986814617275053313,16337.46188064,1874361.0185148001,0.8716283426330228,16337.46188064,4.596922307439504,13.939082864169066,0.3297865686167965,-1.0032384475594205,78.22172200337648,0.6865726464719754
4029749871687083265,3662.13654822,115505.10595,3.170540832892072,3662.13654822,4.278196902126168,12.089494478313068,0.3538772369515268,-1.0,42.873831775700936,0.6386268819154726
3886752488982104320,7195.17832464,799961.5870758,0.8994404782536418,7195.17832464,5.760751260720577,25.982851666186072,0.2217135876666526,-1.139451858831749,74.5396317053643,0.6319653546163614
3936410995029308417,10681.514,596381.514,1.7910538387345118,10681.514,534.0757,1786.3037320897977,0.2989837004791926,-1.0,30.0,0.6268819154725194
3910983669796782848,6761.64804825,942371.130466,0.7175143454263485,6761.64804825,10.565075075390626,31.914908768879208,0.33103886186548703,-1.5676218990269462,42.8125,0.6180210411754036
3944088772635000577,7581.4919834,1069559.0582283,0.7088427632933676,7581.4919834,1.250452248622794,4.1801422401462265,0.2991410762565466,-1.13608085550754,45.75292759360053,0.616615272991112
3999240873283311617,42574.47367879,7830890.6646335,0.5436734530219949,42574.47367879,9.41496543095754,41.383493093107134,0.2275053343074537,-1.5987419087132648,52.32198142414861,0.6139125702884092
3999845462424248576,5843.15260681,669343.4627509,0.8729677560150554,5843.15260681,1.7610465963863773,7.7944950549352585,0.2259346608054272,-4.34296544918264,43.490054249547924,0.6138989660801741
3891020560590657281,2856.30056379,163834.4145645,1.7434069462039077,2856.30056379,6.536156896544623,15.113304301283254,0.43247702595319576,-1.0,64.75972540045767,0.6026709595501543
3956076827719377409,16790.01223802,1626576.9243934,1.0322298310165383,16790.01223802,4.287541429525025,43.07873842120432,0.09952801745500052,-1.6853029476933556,51.55771195097037,0.6013150734627244
4028701921959171840,17601.40139824,4330195.885,0.40648048877447035,17601.40139824,25.62067161315866,92.92148278325865,0.27572387832983064,-1.0754107396761134,54.29403202328966,0.5918193361146381
3939318616482048768,9775.38910984,961879.58273,1.0162799258193587,9775.38910984,31.032981301079364,152.249734419242,0.20382946098037513,-1.042462153894423,37.46031746031746,0.5811808452748051
3788465932399412480,13960.96645667,1668362.82802,0.8368063722229275,13960.96645667,4.549027845118931,29.749289912078247,0.15291214877945777,-1.3587379319096677,44.607363962202676,0.5791946308724834
3879821005658659073,4268.00656095,207016.5657877,2.0616739267749873,4268.00656095,4.894502936869266,37.37970169828229,0.13094012831820387,-11.170536001954043,33.142201834862384,0.5745193179756937
4022641794255717633,2176.83382376,117814.0575365,1.847685980160385,2176.83382376,0.35968833836087244,0.6437517841555029,0.5587376178424495,-1.860660150545184,43.52280237937872,0.5692544893887175
4022565861939831809,14197.57707589,6091302.34414,0.2330795004708387,14197.57707589,20.13840719984397,67.21711630849433,0.2996023677573186,-2.392245157205862,52.76595744680851,0.5679167422456013
3943533600390906881,2361.42457205,222606.062211,1.0608087437491678,2361.42457205,1.3424812803013075,3.1360581717858125,0.4280792022224634,-1.6643069835113535,54.80386583285958,0.5666334119354254
3977234346014419201,2427.29283086,59166.712085,4.102463607193359,2427.29283086,29.244491938072287,95.96668749567114,0.3047358693024748,-1.0,39.75903614457831,0.5626836568111737
3826087012661391104,532.65697373,4373.7423342,12.17851745780603,532.65697373,4.932009016018519,7.3055823625850245,0.6751014185094157,-1.334096333216783,58.333333333333336,0.5613096317794304
